,id,name,address,latitude,longitude,rating,second_word,types,Description
157,217,Dovan Park,"M8HM+GX2, Kathmandu 44600, Nepal",27.6788056,85.3345194,4.2,Kathmandu 44600,"park, point_of_interest, establishment","The Bagmati River flows through the Kathmandu valley of Nepal, separating the cities of Kathmandu and Patan, before flowing through Madesh Province of southern Nepal and joining the Kamla River in the Indian state of Bihar. It is considered holy by both Hindus and Buddhists. A number of Hindu temples are located on its banks."
158,218,Janamaitri Park (Pepsicola Town Plan),"गौरीपुत्र मार्ग, Kathmandu 44600, Nepal",27.6920404,85.364882,4.2,Kathmandu 44600,"park, point_of_interest, establishment",
159,219,Sahayoginagar Park,"M8JP+2VH, Kathmandu 44600, Nepal",27.6798765,85.3370561,4.3,Kathmandu 44600,"park, point_of_interest, establishment",
160,220,Salik Chowk Park,"M7WG+PVP, Kathmandu 44600, Nepal",27.6968398,85.2771942,4.1,Kathmandu 44600,"park, point_of_interest, establishment","China–Pakistan Economic Corridor (CPEC; Chinese: 中巴经济走廊; pinyin: Zhōng bā jīngjì zǒuláng; Urdu: چین پاکستان اقتصادی راہداری) is a 3,000 km Chinese infrastructure network project currently under construction in Pakistan. This sea-and-land-based corridor aims to secure and shorten the route for China’s energy imports from the Middle East, avoiding the existing path through the Straits of Malacca between Malaysia and Indonesia, which could be blockaded in case of war, thereby threatening China’s energy-dependent economy. Developing a deep-water port at Gwadar in the Arabian Sea and establishing a robust road and rail network from this port to the Xinjiang region in western China would serve as a shortcut, enhancing trade between Europe and China."
161,221,Earthquake Memorial park,"P74Q+G9M, Kathmandu 44600, Nepal",27.7065081,85.2884511,4.9,Kathmandu 44600,"park, point_of_interest, establishment","Smritivan Earthquake Memorial and Museum is a memorial park dedicated to the victims of 2001 Gujarat earthquake and museum on Bhujiyo Hill in Bhuj,  Kutch district (Kachchh), Gujarat, India. It has seven blocks with displays on seven different themes. 


== History ==
The memorial park dedicated to the victims of 2001 Gujarat earthquake and celebrating resilience of people of Kutch along with a museum was proposed in 2004 by Gujarat State Disaster Management Authority."
162,222,Ranibari Community Forest,"Kathmandu 44600, Nepal",27.7308175,85.321047,4.4,Nepal,"park, point_of_interest, establishment",
163,223,Airport Nagar Children’s Park,"Kathmandu 44600, Nepal",27.7024696,85.3660836,4.5,Nepal,"park, point_of_interest, establishment","Sarojini Nagar is a neighbourhood and a large market in South West Delhi district of Delhi, India.


== Overview ==
Sarojini Nagar was earlier known as Vinay Nagar. In the 1970s, the government changed the name of the locality to Sarojini Nagar, after the name of the famous female freedom fighter, Sarojini Naidu."
164,224,Bancharetar Chowk (बन्चरे टार चोक),"P979+G89, Kathmandu 44600, Nepal",27.7137883,85.3683668,4.5,Kathmandu 44600,"park, point_of_interest, establishment",
165,225,Whoopee Land Amusement Water Park,"Kathmandu 44600, Nepal",27.6620256,85.2875264,4.1,Nepal,"amusement_park, park, lodging, restaurant, food, point_of_interest, establishment","Sunnyside Amusement Park (also known as Sunnyside Beach Park) was a popular amusement park in Toronto, Ontario, Canada that ran from 1922 to 1955, demolished in 1955 to facilitate the building of the Metro Toronto Gardiner Expressway project. It was located on the Lake Ontario waterfront at the foot of Roncesvalles Avenue, west of downtown Toronto.
The name 'Sunnyside' was the name of a local farm owned by John George Howard, which was situated just to the north, on the location of the current St."
166,226,Ghyoi Lisang Peace Park,"P9C6+XHF, Unnamed Road, Kathmandu 44600, Nepal",27.7224362,85.3614313,4.7,Unnamed Road,"park, point_of_interest, establishment",
167,227,Bagmati Nagar Park,"P975+WWP, Kathmandu 44600, Nepal",27.714826,85.359817,4.5,Kathmandu 44600,"park, point_of_interest, establishment","This is a list of Bhairava temples.


== India ==


=== Andhra Pradesh ===

Sri Kaala Bhairava temple (inside Sri Manikyamba sametha Bhimeswara Swamy temple), Daksharaamam, East Godavari
Kalabhairava Guru Sansthan, Kalabhairava Deeksha Ghat, Swarnakarshana Bhairava Swamy, Aryapuram, Rajahmundry
Sri Kaala Bhairava temple (inside Sri Puruhootika sametha Kukkuteswara swamy temple), Pitapuram, East Godavari District
Swayambho Sri Sri Sri Bhairava Swamy Temple in Bhimavaram, West Godavari, Andhra Pradesh
Sri Bhairava Swamy Temple, Ainavilli, East Godavari District
Sri Kala Bhairava Swamy Temple, Bhairavapalem (near Yanam), East Godavari District
Naga Bhirava Kona, P.K.Padu, Somasila, SPSR Nellore District, Andhra Pradesh
Bhairava sela or Bayyanna sela in Srisailam, Andhra Pradesh
Kaal Bhairva Temple at Ratanpur (considered to be guardian deity of Mahamaya Temple)
Bhairava Kona, Near Pamur, Prakasam, Andhra Pradesh
Kala Bhairava in Mruthyunjaya Swamy Temple, Yogimallavaram Village, Near Tirupati, Andhra Pradesh
Sri Santhana Prapthi Kaala Bhairava, Ramagiri, Andhra Pradesh
Kala Bhairava in Valeeshwara swamy Temple in Ramagiri Village between Pitchatur and Nagalapuram
Bhogaswara Swamy Temple Kala Bhairava Swamy near Nandyal Kurnool district
Kalabhairava Temple, Siddarampuram, Anantapur district
Skandagiri Temple, Secunderabad
Bhairava Swamy Temple, Bhairavavaaka, Simhachalam, Visakhapatnam
Sri Asta Kala Biarava Swamy Temple, Bommarsapalli, Chittorr
Sri Kala Bhairava Swamy Temple, near Gram Panchayath, G. Moolapalem, Yedurlanka, East Godavari


=== Assam ===
Mahabhairav Temple, Tezpur, Assam


=== Bihar ===
Kaal Bahairav Temple, Barhara, Rampatti, Madhubani.


=== Delhi and NCR ===
Shri Kilkari Bhairava Temple, near Purana Qila, New Delhi, Delhi."
168,228,Miku Nepal,"Narayanchaur, Kathmandu 44604, Nepal",27.7148397,85.3249456,4.2,Kathmandu 44604,"park, store, point_of_interest, establishment","The 2023 Asian Weightlifting Championships was held in Jinju, South Gyeongsang Province, South Korea from 5 to 13 May 2023. 


== Doping ==
These are from Kazakhstan who tested positive:

Arli Chontey 55 kg Men Rank 3
Nurgissa Adiletuly 102 kg Men Rank 1
Artyom Antropov 109 kg Men Rank 2
Andas Samarkanov 109 kg Men Rank 3
Lyubov Kovalchuk +87 kg Women Rank 4


== Medal summary ==
Men

Women


== Medal table ==
Ranking by Big (Total result) medals 

  *   Host nation (South Korea)
Ranking by all medals: Big (Total result) and Small (Snatch and Clean & Jerk)

  *   Host nation (South Korea)


== Team ranking ==


== Participating nations ==
A total of 235 competitors from 33 nations participated."
169,229,Setopool Park,"P83P+683, Kathmandu 44600, Nepal",27.70302,85.3358048,4.7,Kathmandu 44600,"park, point_of_interest, establishment",
170,230,Dharahara Park धरहरा बगैचा,"P827+55C, Shundara marg, Kathmandu 44600, Nepal",27.7006755,85.3130526,4.3,Shundara marg,"park, point_of_interest, establishment",
171,231,Nepal Rastra Bank Sworna Jayanti Park,"P8FJ+R7M, Kathmandu 44600, Nepal",27.7245933,85.3306724,4.7,Kathmandu 44600,"park, point_of_interest, establishment",
172,232,Pasupatinath forest,"Unnamed Road, Kathmandu 44600, Nepal",27.7112392,85.3518243,4.5,Kathmandu 44600,"park, point_of_interest, establishment","Tripurasura (Sanskrit: त्रिपुरासुर) is a trio of asura brothers named Tarakaksha, Vidyunmāli and Kamalaksha, who were the sons of the asura Tarakasura. These three began to perform severe tapasya. They were then granted boons by Brahma to have three forts: gold, silver, and iron, which angered the Devas."
